file_name,matrix_multiply,read_matrix,write_matrix
perf_data_1000_0.txt,98.97,0.05,0.05
perf_data_1000_1.txt,95.25,0.35,0.32
perf_data_1000_2.txt,99.11,0.03,0.03
perf_data_1000_3.txt,99.68,0.01,0.01
perf_data_1000_4.txt,95.98,0.37,0.2
perf_data_1000_5.txt,99.73,0.01,0.01
perf_data_2000_0.txt,99.64,0.01,0.01
perf_data_2000_1.txt,98.07,0.08,0.08
perf_data_2000_2.txt,99.64,0.01,0.01
perf_data_2000_3.txt,99.78,0.0,0.0
perf_data_2000_4.txt,98.39,0.08,0.07
perf_data_2000_5.txt,99.78,0.0,0.0
perf_data_3000_0.txt,99.74,0.0,0.0
perf_data_3000_1.txt,98.58,0.05,0.03
perf_data_3000_2.txt,99.71,0.0,0.0
perf_data_3000_3.txt,99.75,0.0,0.0
perf_data_3000_4.txt,98.59,0.05,0.02
perf_data_3000_5.txt,99.76,0.0,0.0
perf_data_4000_0.txt,99.66,0.0,0.0
perf_data_4000_1.txt,98.86,0.04,0.03
perf_data_4000_2.txt,99.69,0.0,0.0
perf_data_4000_3.txt,99.69,0.0,0.0
perf_data_4000_4.txt,98.94,0.04,0.02
perf_data_4000_5.txt,99.75,0.0,0.0
perf_data_5000_0.txt,99.47,0.0,0.0
perf_data_5000_1.txt,99.0,0.03,0.02
perf_data_5000_2.txt,99.66,0.0,0.0
perf_data_5000_3.txt,99.69,0.0,0.0
perf_data_5000_4.txt,99.03,0.03,0.01
perf_data_5000_5.txt,99.65,0.0,0.0
